id_stock_summary,date,stock_code,stock_name,remarks,previous,open_price,first_trade,high,low,close,change,volume,value,frequency,index_individual,offer,offer_volume,bid,bid_volume,listed_shares,tradeble_shares,weight_for_index,foreign_sell,foreign_buy,delisting_date,non_regular_volume,non_regular_value,non_regular_frequency
4024869,2026-06-03,TIRA,Tira Austenite Tbk,--UO2130000000C211------------,605.0,0.0,0.0,605.0,565.0,600.0,-5.0,722000.0,432429000.0,33.0,269.3,600.0,5700.0,570.0,3100.0,588000000.0,588000000.0,104076000.0,0.0,0.0,,0.0,0.0,0.0
4024870,2026-06-03,TIRT,Tirta Mahakam Resources Tbk,--U-4130000000B151-E---------X,505.0,0.0,0.0,550.0,460.0,480.0,-25.0,939400.0,485127600.0,152.0,219.4,480.0,50200.0,460.0,33000.0,1011774750.0,1011774750.0,188493636.0,0.0,0.0,,0.0,0.0,0.0
4024871,2026-06-03,TKIM,Pabrik Kertas Tjiwi Kimia Tbk.,--MO113540G000B152------------,5625.0,5650.0,5650.0,5700.0,5075.0,5200.0,-425.0,12311600.0,65287757500.0,4918.0,321.5,5225.0,13000.0,5200.0,48700.0,3113223570.0,3113223570.0,909372605.0,5330800.0,4791600.0,,0.0,0.0,0.0
4024872,2026-06-03,TLDN,Teladan Prima Agro Tbk.,--UO1135000000D232------------,535.0,535.0,530.0,535.0,490.0,494.0,-41.0,1142100.0,573888000.0,596.0,85.2,494.0,13900.0,492.0,5200.0,12946530200.0,12946530200.0,970989765.0,141900.0,0.0,,0.0,0.0,0.0
4024873,2026-06-03,TLKM,Telkom Indonesia (Persero) Tbk.,--MO1XDSWW4200J312------------,2950.0,2900.0,2930.0,2950.0,2850.0,2850.0,-100.0,168085400.0,485792214000.0,27577.0,1497.8,2860.0,100.0,2850.0,7494600.0,99062216600.0,99062216600.0,46569148024.0,147124100.0,142009600.0,,8225932.0,23781784475.0,5.0
4024874,2026-06-03,TMAS,Temas Tbk.,--MO1135000000K211------------,120.0,121.0,121.0,121.0,115.0,117.0,-3.0,4075900.0,479529200.0,574.0,2690.9,117.0,107800.0,116.0,253400.0,57051500000.0,57051500000.0,8466442600.0,234600.0,41600.0,,0.0,0.0,0.0
4024875,2026-06-03,TMPO,Tempo Intimedia Tbk.,--UO2130000000E614------------,107.0,0.0,0.0,106.0,97.0,100.0,-7.0,2909000.0,292306200.0,242.0,34.7,101.0,3200.0,99.0,15500.0,1058333250.0,1058333250.0,264794979.0,0.0,0.0,,0.0,0.0,0.0
4024876,2026-06-03,TNCA,Trimuda Nuansa Citra Tbk.,--UO2130000000K211------------,165.0,164.0,161.0,164.0,142.0,142.0,-23.0,1755800.0,257698300.0,225.0,94.7,143.0,700.0,142.0,406600.0,421640000.0,421640000.0,127040132.0,0.0,0.0,,0.0,0.0,0.0
4024877,2026-06-03,TOBA,TBS Energi Utama Tbk.,--MO183F400000A121------------,432.0,434.0,438.0,440.0,390.0,396.0,-36.0,19358700.0,7820158200.0,2519.0,83.6,396.0,12200.0,394.0,114900.0,8319512975.0,8319512975.0,2410335916.0,8624600.0,3899200.0,,52.0,21320.0,1.0
4024878,2026-06-03,TOOL,Rohartindo Nusantara Luas Tbk.,--UO2130000000E743------------,72.0,73.0,72.0,73.0,62.0,62.0,-10.0,60766600.0,3893590900.0,2374.0,48.8,62.0,1664400.0,0.0,0.0,2050020320.0,2050020320.0,410004064.0,1526400.0,5853900.0,,0.0,0.0,0.0
